variant,c,b,gamma,temperature,n_nodes,episodes,n_experiments,theory_p_mean,tail_mean_last_1000,tail_std_last_1000,final_mean,final_std
PairGame,1.0,0.1,0.0,1.0,100,8000,5,0.021454455112212414,0.021668000000000003,0.00031902351010544707,0.026000000000000002,0.017435595774162694
PairGame,1.0,0.5,0.0,1.0,100,8000,5,0.021454455112212414,0.021844000000000006,0.00030571882506643343,0.024,0.010198039027185569
PairGame,1.0,1.0,0.0,1.0,100,8000,5,0.021454455112212414,0.02133,0.00027999999999999873,0.028000000000000004,0.0132664991614216
PairGame,1.0,5.0,0.0,1.0,100,8000,5,0.021454455112212414,0.022092,0.0008954641254679058,0.027999999999999997,0.0074833147735478825
MonteKarloPairGame,1.0,0.1,0.0,1.0,100,8000,5,0.023037338531864845,0.09221800000000002,0.0061401218228956935,0.082,0.019390719429665318
MonteKarloPairGame,1.0,0.5,0.0,1.0,100,8000,5,0.023037338531864845,0.09435600000000002,0.0073330037501695075,0.092,0.029257477676655583
MonteKarloPairGame,1.0,1.0,0.0,1.0,100,8000,5,0.023037338531864845,0.09187800000000002,0.0043783987940798595,0.084,0.010198039027185569
MonteKarloPairGame,1.0,5.0,0.0,1.0,100,8000,5,0.023037338531864845,0.10912200000000002,0.00934253370344469,0.08199999999999999,0.0116619037896906
PairGame,0.1,0.1,0.0,1.0,100,8000,5,0.40142680801364383,0.40081999999999995,0.0008423063575683234,0.404,0.02727636339397171
PairGame,0.1,0.5,0.0,1.0,100,8000,5,0.40142680801364383,0.400814,0.0016024805771053727,0.41400000000000003,0.057480431452799643
PairGame,0.1,1.0,0.0,1.0,100,8000,5,0.40142680801364383,0.40365799999999996,0.001219088183848911,0.44400000000000006,0.032619012860600184
PairGame,0.1,5.0,0.0,1.0,100,8000,5,0.40142680801364383,0.497904,0.024669949817541212,0.4860000000000001,0.07735631842325487
MonteKarloPairGame,0.1,0.1,0.0,1.0,100,8000,5,0.40136915655291494,0.43412200000000006,0.008197459118531808,0.45199999999999996,0.07858753081755399
MonteKarloPairGame,0.1,0.5,0.0,1.0,100,8000,5,0.40136915655291494,0.4281940000000001,0.008818838018696123,0.44000000000000006,0.03286335345030996
MonteKarloPairGame,0.1,1.0,0.0,1.0,100,8000,5,0.40136915655291494,0.446098,0.0056564172406214745,0.45600000000000007,0.04127953488110059
MonteKarloPairGame,0.1,5.0,0.0,1.0,100,8000,5,0.40136915655291494,0.5071380000000001,0.023129606481736772,0.48599999999999993,0.048
