condition,graph,c,b,gamma,temperature,n_nodes,episodes,n_experiments,theory_mean_p,tail_mean,tail_std,final_mean
small_world_c1.0,small_world,1.0,0.1,0.0,1.0,100,3000,4,0.019982303421635095,0.020430000000000004,0.0002570992026436472,0.022500000000000003
small_world_c1.0,small_world,1.0,0.5,0.0,1.0,100,3000,4,0.019982303421635095,0.020890000000000006,0.0010752209075348203,0.015
small_world_c1.0,small_world,1.0,1.0,0.0,1.0,100,3000,4,0.019982303421635095,0.020625000000000004,0.0001395528573695281,0.0125
small_world_c1.0,small_world,1.0,5.0,0.0,1.0,100,3000,4,0.019982303421635095,0.020975,0.0013993837929603163,0.015
small_world_c0.1,small_world,0.1,0.1,0.0,1.0,100,3000,4,0.4014053363233343,0.40207000000000004,0.0008363611660042432,0.405
small_world_c0.1,small_world,0.1,0.5,0.0,1.0,100,3000,4,0.4014053363233343,0.40208499999999997,0.0017355906775504432,0.4125
small_world_c0.1,small_world,0.1,1.0,0.0,1.0,100,3000,4,0.4014053363233343,0.40570500000000004,0.006205277995384271,0.39249999999999996
small_world_c0.1,small_world,0.1,5.0,0.0,1.0,100,3000,4,0.4014053363233343,0.46100500000000005,0.03217860896620613,0.4575
star_c1.0,star,1.0,0.1,0.0,1.0,100,3000,4,0.26625200715629516,0.266795,0.0015080699585894748,0.2825
star_c1.0,star,1.0,0.5,0.0,1.0,100,3000,4,0.26625200715629516,0.26647000000000004,0.0022014767770748896,0.2625
star_c1.0,star,1.0,1.0,0.0,1.0,100,3000,4,0.26625200715629516,0.26736000000000004,0.001439096939055881,0.26
star_c1.0,star,1.0,5.0,0.0,1.0,100,3000,4,0.26625200715629516,0.27848,0.004342395652171733,0.2675
star_c0.1,star,0.1,0.1,0.0,1.0,100,3000,4,0.47027110611749623,0.46849500000000005,0.0023488454610723192,0.505
star_c0.1,star,0.1,0.5,0.0,1.0,100,3000,4,0.47027110611749623,0.475885,0.001873839640951164,0.475
star_c0.1,star,0.1,1.0,0.0,1.0,100,3000,4,0.47027110611749623,0.47397,0.0017205522369285876,0.51
star_c0.1,star,0.1,5.0,0.0,1.0,100,3000,4,0.47027110611749623,0.47798,0.00179838816722084,0.47
